,0
Dnmt3l,0.9999999999999998
Psmb8,0.7377139685904691
Zglp1,0.7280018778659745
Tmem54,0.7240777732935941
Wt1,0.7199587164595277
Alox5ap,0.7167646475781646
Lect2,0.7072231328923688
Gpha2,0.7047932757943346
1700011H14Rik,0.704166547815339
Pilrb1,0.7032393445676379
Gnmt,0.7002016034789917
Irs4,0.6998303927677151
Timp4,0.6944550575777624
Pygm,0.6890901535345216
P4ha3,0.6839104544894272
Slc6a4,0.6787833599420635
Ms4a10,0.6749555791177085
A930006K02Rik,0.6743729520209358
Hoxc8,0.6739907701671249
Il2rg,0.6714677430667679
Clcf1,0.6702395311634681
Gcgr,0.6614978942746205
Folr1,0.6599861533815715
Enpp3,0.6596125820049228
Slc28a2,0.654459773379333
Scn4b,0.6527266391363999
Fas,0.6521477096891248
Cox6a2,0.6480578093469367
Pga5,0.6471133699683249
Foxq1,0.6418494730544013
Rrad,0.6391759803245756
Cyct,0.6378395694914656
Zxda,0.6369832383953886
Msh5,0.6365232237436195
Ppp1r16b,0.6351373588896341
Lrp2,0.6318586158113437
ERCC-00165,0.6314254071409282
Gbp4,0.6311733229555019
Dcn,0.630111811026394
Rsph9,0.6276028355044942
Arhgdib,0.6251178377224205
Nr1h5,0.6250148045213859
Enpp1,0.6239689097949709
Trim12c,0.622766095739397
Hoxd3,0.6204266254781745
Platr17,0.6153648930939454
Batf3,0.6146217550237468
Akr1c13,0.6125215944946054
Nfkbie,0.6123655598440565
Syn2,0.6115998532733686
Sspo,0.6100561474678352
Gm5771,0.6095463111201562
Snx32,0.6094506391418214
Prss1,0.6094148785648889
Atp6v1g2,0.6078306297037606
9430091E24Rik,0.6067796278290534
Pou3f1,0.6048711293959097
Fgf15,0.6042599641980468
Prrg1,0.6009655912586138
Ednrb,0.6006449451309713
Enpp2,0.6004010090681051
Mgst1,0.5994144193804994
Bcl11a,0.5973478403677452
Zswim5,0.5954519263417776
Ctnna2,0.5944338891166441
Ang,0.5942366870816894
Tmcc3,0.5940961407918874
Egr2,0.5924894556691679
Tnfaip2,0.5896248237806163
Pgam2,0.5884008088126256
2610528A11Rik,0.5880068383315014
Asb12,0.5853706102007062
Gbp8,0.5851841033871781
Spon2,0.5851200212155603
Grem2,0.5830317770299848
Pifo,0.58142076571339
Hoxd8,0.579219975475992
Prph,0.5791770669789854
Pcdh9,0.5772881432095059
Nr2f1,0.5762104478346455
Tmem53,0.5752237265393175
Clec4f,0.5732632567419069
Col3a1,0.5722370524318583
Kcp,0.5669728319661163
Klf14,0.5659727232101002
Slc35f2,0.558530535749333
Lum,0.5584163464386293
Cml1,0.5575467115011664
Col6a3,0.5543338961997165
P2rx3,0.5509974775820428
H2-DMa,0.5495239479773352
Hoxd9,0.5475005356099469
Gdpd5,0.5431569819708868
Sox17,0.543077941650161
Eras,0.541682099085244
Nat8l,0.5403618964202249
Dnase1l1,0.5390366901341095
Irgm1,0.5380259043909064
Fendrr,0.5373878978302792
Bdnf,0.5354155978613214
